"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"10008",2200,2200,32,1,0.580645161290323,1,1,1334326352,5150848,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10009",12480,12480,57,2,0.109090909090909,1,1,1478984415,2537985,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10010",2000,2000,18,4,0.142857142857143,1,1,1369291119,2586081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10011",200,200,23,0,0.130434782608696,1,1,1427415666,362334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10013",400,400,23,0,0.130434782608696,1,1,1361343399,1634601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"10014",6500,6500,52,4,0.0625,1,1,1478283909,2547291,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"10015",10000,10000,8,0,0.125,1,1,1433475886,2510114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10017",7500,7500,42,1,0.146341463414634,1,1,1396220420,1231180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10018",800,800,25,3,0.181818181818182,1,1,1425517665,2519535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10019",800,800,12,0,0.166666666666667,1,1,1307765975,2508025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10020",5500,5500,38,1,0.162162162162162,1,1,1310410806,2541594,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10021",4e+06,226718.81,47,2,0.133333333333333,0,0,1496214308,3448492,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10022",11000,11000,34,1,0.151515151515152,1,1,1335469804,1156196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10023",300,300,34,2,0.15625,1,1,1433920032,3448368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"10025",48000,48000,21,0,0.904761904761905,1,1,1479602444,2524756,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10026",8000,8000,7,0,0.142857142857143,1,1,1402869724,3394676,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10027",30000,30000,21,3,0.277777777777778,1,1,1336002990,2523810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10029",1e+05,4737.54,60,0,0.133333333333333,0,0,1479973178,5178022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10030",5000,7695.62,10,1,0.222222222222222,0,0,1435215589,5176811,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10031",110,110,34,0,0.147058823529412,1,1,1333402286,2532514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"10034",350,350,45,4,0.0487804878048781,1,1,1373327323,2005877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10035",6250,6250,43,0,0.116279069767442,1,1,1410468000,2535600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"10036",15000,15000,41,2,0.128205128205128,1,1,1433048873,2591527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"10037",20000,20000,30,3,0.333333333333333,1,1,1434676661,2518939,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10038",5e+05,5e+05,13,0,0.153846153846154,1,1,1416613884,5119716,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10039",75000,75000,43,2,0.121951219512195,1,1,1361505609,2509191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"10040",5000,5000,41,1,0.15,1,1,1499494367,2587633,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10042",2600,2600,15,0,0.133333333333333,1,1,1354563154,2543246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10043",1500,1500,58,1,0.280701754385965,1,1,1441331956,5112044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"10044",4500,4500,60,4,0.107142857142857,1,1,1296607218,2524782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"10045",50000,7089.38,39,1,0.0526315789473684,0,0,1479593590,2965610,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10046",4000,4000,42,1,0.146341463414634,1,1,1395283235,5105965,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10047",4000,4000,58,1,0.175438596491228,1,1,1429830899,2526301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10048",50,50,35,1,0.0588235294117647,1,1,1308809402,5179798,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"10049",10000,10000,72,3,0.115942028985507,1,1,1277434911,3808689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10050",50000,50000,17,1,0.25,1,1,1449300182,5179018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10051",50000,50000,43,2,0.0731707317073171,1,1,1394571481,3830519,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10052",20000,20000,10,0,0.2,1,1,1408944019,2590781,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10053",8000,8000,46,2,0.25,1,1,1476154469,2516731,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"10055",6000,9587.27,8,0,0.25,0,0,1378739887,2554913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10056",3000,3000,39,3,0.166666666666667,1,1,1306927785,2568615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10057",1500,1500,23,1,0.181818181818182,1,1,1356250994,2583406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10059",5000,5000,23,0,0.130434782608696,1,1,1306456760,7705240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10061",3500,3500,30,0,0.166666666666667,1,1,1433989388,2515012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10062",1000,1000,21,0,0.19047619047619,1,1,1464388767,2528433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10063",15000,15000,59,2,0.0350877192982456,1,1,1439528419,2591981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
