"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"40026",2000,2000,21,0,0.142857142857143,1,1,1391060378,2766022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"40028",5000,5000,36,1,0.142857142857143,1,1,1400378563,4935437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40029",36000,5294.04,46,0,0.0652173913043478,0,0,1430149696,2553104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"40030",5000,5000,34,0,0.147058823529412,1,1,1298191557,2578443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"40031",100,100,32,1,0.129032258064516,1,1,1470001777,5123423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"40032",20000,21130.03,28,1,0.111111111111111,0,0,1485816110,2531890,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40034",500,500,21,0,0.142857142857143,1,1,1334226863,3176737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"40035",35000,35000,2,0,0,1,1,1320364742,2527258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"40036",650,650,41,0,0.121951219512195,1,1,1374289374,2512626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40037",2000,2000,59,3,0.178571428571429,1,1,1271876399,900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"40038",15000,15000,60,2,0.155172413793103,1,1,1345236373,2535227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"40039",1000,1000,30,1,0.137931034482759,1,1,1456635382,4233818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40041",15000,11990.41,10,0,0,0,0,1512836882,1949518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40042",18500,18500,39,1,0.157894736842105,1,1,1328332606,5096594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"40043",20000,20000,51,1,0.9,1,1,1482295779,868221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"40044",6000,6000,31,1,0.166666666666667,1,1,1385779106,2517694,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40045",500,500,20,0,0.15,1,1,1499306743,2516057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"40046",7500,9294.72,52,1,0.176470588235294,0,0,1412283962,2534038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40047",85000,85000,52,0,0.115384615384615,1,1,1454325653,3865147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"40048",30000,30000,37,1,0.916666666666667,1,1,1400620567,2533433,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"40049",4000,4000,13,0,0.153846153846154,1,1,1331037836,2564164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
