"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","target"
"396",7000,7000,43,1,0.166666666666667,1,1,1305858889,2514311,0
"397",5000,5000,50,3,0.127659574468085,1,1,1476224441,2533159,0
"399",1287,1287,26,0,0.153846153846154,1,1,1331621125,2585675,0
"401",6000,6000,28,0,0.75,1,1,1357933031,2542969,1
"402",10000,10000,38,1,0.135135135135135,1,1,1424223923,2517277,1
"403",2500,2500,43,1,0.119047619047619,1,1,1501676402,2133598,1
"404",15000,24051.18,34,0,0.235294117647059,0,0,1409012354,3818446,0
"406",7500,7500,49,1,0.104166666666667,1,1,1295517044,3874156,1
"407",800,800,43,0,0.0930232558139535,1,1,1348561617,4311183,1
"408",15000,15000,7,0,0.285714285714286,1,1,1495838020,2528780,0
"409",60000,60000,19,0,0.842105263157895,1,1,1345810187,5158213,0
"410",15000,15000,22,0,0,1,1,1408186813,2570387,0
"411",18000,18000,40,2,0.0789473684210526,1,1,1352917189,2979611,1
"412",2000,2000,57,2,0.127272727272727,1,1,1336609045,1658555,0
"413",2500,2500,20,1,0.210526315789474,1,1,1494883725,2532675,0
"414",20000,20000,60,6,0.111111111111111,1,1,1395196098,2514702,0
"415",500,500,20,0,0.15,1,1,1487218617,2508183,0
"416",10000,10000,28,0,0.107142857142857,1,1,1508562014,3459586,0
"417",20000,26754.78,52,2,0.06,0,0,1510362070,2609930,1
"418",3000,3000,36,2,0.0882352941176471,1,1,1389127591,2538809,0
"419",550,550,12,1,0.0909090909090909,1,1,1414373345,1744255,1
"420",10000,10000,52,1,0.0784313725490196,1,1,1398984469,2527931,0
"421",175,259.93,22,0,0.136363636363636,0,0,1422725934,3669666,0
"422",3000,3000,31,1,0.166666666666667,1,1,1345020140,3010660,0
"423",5500,8868.68,16,0,0.125,0,0,1354824279,2541321,1
"424",25000,25000,13,0,0.153846153846154,1,1,1382767964,2591236,0
"425",5500,5500,12,0,0.166666666666667,1,1,1334583401,1783399,1
"426",15000,19261.39,34,1,0.484848484848485,0,0,1492711670,2544730,0
"427",35000,35000,48,1,0.0851063829787234,1,1,1483275964,3430436,0
"428",3000,3000,35,0,0.228571428571429,1,1,1438828978,3377822,0
"429",14500,14500,32,1,0.161290322580645,1,1,1493676983,5121817,1
"430",10000,10000,43,3,0.3,1,1,1457502606,3798594,1
"432",20000,20000,59,3,0.0535714285714286,1,1,1413213882,2644518,1
"434",3000,3000,36,0,0.111111111111111,1,1,1416970579,1307021,0
"435",350,350,43,3,0.075,1,1,1415345499,1117701,0
"436",4000,4000,35,0,0.142857142857143,1,1,1295388174,2534226,1
"437",8000,6214.07,39,0,0.230769230769231,0,0,1509206736,2555664,0
"438",150000,171405.06,20,0,0.15,0,0,1458599026,3825374,0
"439",200,200,25,1,0.166666666666667,1,1,1303010769,2511231,0
"440",200,322.39,20,0,0.15,0,0,1353985086,1047714,0
"441",800,800,60,1,0.288135593220339,1,1,1503361241,1744759,1
"442",15000,15000,45,2,0.116279069767442,1,1,1345678177,2525423,1
"443",1500,1500,48,1,0.106382978723404,1,1,1446082484,2521516,0
"444",3000,3000,29,0,0.172413793103448,1,1,1295556037,2539163,1
"445",3000,3000,44,4,0.2,1,1,1322575209,2908791,0
"446",6500,6500,25,3,0.272727272727273,1,1,1324786859,3807541,0
