"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"990",20000,22720.04,31,1,0.133333333333333,0,0,1442455971,2515629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"992",25000,25000,34,0,0.117647058823529,1,1,1456175635,3829565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"993",500,500,15,0,0.133333333333333,1,1,1446449038,3882962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"994",1,1,27,3,0.25,1,1,1437108080,2506720,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"995",15000,15000,42,3,0.128205128205128,1,1,1305929524,2530076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"996",4500,4500,36,0,0.166666666666667,1,1,1375496999,2428201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"997",20000,20000,28,0,0.142857142857143,1,1,1427528844,2581956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"999",450,450,25,0,0.28,1,1,1454336772,2648028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1001",25000,25000,52,1,0.176470588235294,1,1,1407794632,2530568,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1002",1001,1001,35,0,0.142857142857143,1,1,1331286678,3870522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1003",5000,3969.51,60,1,0.11864406779661,0,0,1498089187,2524013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1004",1600,1600,30,2,0,1,1,1380588573,2693427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1005",2000,2000,49,5,0.113636363636364,1,1,1509971169,2568831,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1006",20000,20000,29,0,0.103448275862069,1,1,1412554600,2526200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1007",50000,50000,40,0,0.125,1,1,1467614719,3881681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1008",2000,3036.61,11,0,0.181818181818182,0,0,1360092236,3404164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1009",10000,10000,51,1,0.1,1,1,1357955909,3384091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1010",1e+05,79032.64,27,0,0.148148148148148,0,0,1416732172,5174228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1011",52000,52000,23,3,0.15,1,1,1492749765,2074635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1012",4500,4500,11,0,0.181818181818182,1,1,1440889128,2527272,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1013",12000,18312.22,42,0,0.0714285714285714,0,0,1372616479,1334321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1014",5000,5000,19,0,0.736842105263158,1,1,1349158017,3282783,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1015",25000,25000,52,1,0.196078431372549,1,1,1457398983,2519817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1016",6000,6000,24,1,0.217391304347826,1,1,1435628866,2257934,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1017",6000,5363.85,41,1,0.1,0,0,1384322738,2591662,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1018",900,900,23,0,0.173913043478261,1,1,1465648440,3860760,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1019",4300,4300,18,1,0.117647058823529,1,1,1422358334,3864466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1021",2000,2000,16,0,0.125,1,1,1331872005,2507595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1022",1e+05,1e+05,46,3,0.186046511627907,1,1,1367262764,2800036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1023",1000,1000,9,0,0.111111111111111,1,1,1429052417,1144783,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1024",14000,14000,14,0,0.785714285714286,1,1,1320971424,3389376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1025",1e+05,1e+05,25,0,0.72,1,1,1402345637,2190763,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1026",1500,1898.93,20,0,0.25,0,0,1476759616,1738784,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1028",40000,41784.18,40,2,0.368421052631579,0,0,1479429484,3043316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1029",4500,7127.25,20,0,0.15,0,0,1431638126,2533474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1030",2223,2223,16,0,0.25,1,1,1302531430,1867370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1031",28000,28000,37,2,0.2,1,1,1364557031,2568169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1032",8000,8000,53,4,0.163265306122449,1,1,1510672141,3855059,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1033",7000,7000,21,0,0.19047619047619,1,1,1367473804,2588996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1034",850,850,44,4,0.175,1,1,1327733528,2848072,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1035",3600,3600,42,1,0.121951219512195,1,1,1262532312,7738488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1036",12000,12000,25,0,0.12,1,1,1504238733,2508867,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1040",2000,2000,17,0,0.176470588235294,1,1,1316384698,4865702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1041",5000,5000,59,2,0.087719298245614,1,1,1500563710,2555090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1042",70000,70000,16,1,0.4,1,1,1374192177,2955423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1043",3e+06,3e+06,22,0,0.181818181818182,1,1,1408151782,5111018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1045",10000,10000,13,2,0.272727272727273,1,1,1506408587,2585413,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1046",14000,14000,30,1,0.172413793103448,1,1,1434753257,2528743,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1047",2000,2000,31,1,0.5,1,1,1344487144,2506856,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1049",5000,5000,66,0,0.151515151515152,1,1,1282127375,2572225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1050",3000,3000,31,0,0.129032258064516,1,1,1378438048,2511152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1051",500,557.7,19,0,0.157894736842105,0,0,1462318067,2525533,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1053",5000,5000,28,1,0.185185185185185,1,1,1301878205,2520595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1054",5800,5800,38,0,0.131578947368421,1,1,1414186173,3400227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1055",200,200,28,1,0.148148148148148,1,1,1470454301,2510899,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1056",360,360,29,1,0.107142857142857,1,1,1479179926,614474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1058",3000,3000,15,0,0.133333333333333,1,1,1494371862,2526138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1059",1000,1000,28,0,0.107142857142857,1,1,1394780021,2585179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1060",2100,2100,51,1,0.26,1,1,1307678802,7692798,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1061",60000,60000,59,1,0.0862068965517241,1,1,1397012987,2512213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1062",10000,10000,13,0,0.153846153846154,1,1,1471996125,2524275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1063",18000,18000,56,5,0.137254901960784,1,1,1326990004,4369196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1064",2000,2000,59,7,0.0961538461538462,1,1,1485388436,2613964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1065",1250,1250,17,0,0.411764705882353,1,1,1409623254,2516346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1066",7000,7000,42,1,0.0731707317073171,1,1,1287360921,3822279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1067",2000,2000,19,0,0.105263157894737,1,1,1429321365,2517435,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1068",5000,5000,19,0,0.157894736842105,1,1,1315948989,5128611,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1069",7000,7000,23,1,0.227272727272727,1,1,1422953383,5170217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
