"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","target"
"101",500,500,35,1,0.147058823529412,1,1,1397189062,2595338,1
"102",200,200,29,0,0.172413793103448,1,1,1350016344,1211256,1
"103",1000,1000,24,1,0.173913043478261,1,1,1480377484,2527316,1
"104",500,500,26,0,0.230769230769231,1,1,1477085011,2536589,0
"106",20000,20000,29,2,0.185185185185185,1,1,1457977169,2892031,1
"107",1800,1800,60,2,0.172413793103448,1,1,1491279955,2939645,0
"108",5000,5000,48,1,0.319148936170213,1,1,1272543272,5676328,0
"109",5400,5400,12,0,0.166666666666667,1,1,1343900831,4216369,1
"110",1750,1750,13,0,0.384615384615385,1,1,1408313202,3826398,1
"111",1000,1000,37,0,0.135135135135135,1,1,1329089594,3475606,1
"112",19500,19500,34,1,0.393939393939394,1,1,1360102566,3048234,1
"113",500,500,57,1,0.0892857142857143,1,1,1494450018,2966382,0
"114",100,100,16,1,0.133333333333333,1,1,1404863546,2524054,0
"115",10000,10000,60,4,0.160714285714286,1,1,1461221185,2585615,0
"116",1000,1000,16,2,0.285714285714286,1,1,1473132866,2078734,0
"117",8000,8000,8,0,0.125,1,1,1511568395,2526805,1
"118",50000,50000,10,0,0.4,1,1,1489129952,2584048,0
"119",6325,6325,26,0,0.192307692307692,1,1,1458442263,5105337,0
"120",20000,20000,13,0,0.769230769230769,1,1,1286682520,2513480,0
"121",25000,25000,51,4,0.0425531914893617,1,1,1320120117,5191083,0
"122",125000,125000,52,3,0.387755102040816,1,1,1346932777,2998823,0
"123",3400,3400,32,2,0.133333333333333,1,1,1407435874,5135726,0
"124",2000,2000,35,1,0.0294117647058824,1,1,1448136747,3232053,1
"125",20000,20000,45,3,0.595238095238095,1,1,1409632759,2420441,0
"126",3200,3200,28,0,0.0714285714285714,1,1,1360660303,2576897,0
"127",200,200,21,1,0.15,1,1,1347961566,2574834,1
"128",250000,250000,37,2,0.2,1,1,1348842839,2557561,0
"129",650,650,59,1,0,1,1,1414205432,1652968,0
"130",500,740.16,15,0,0.133333333333333,0,0,1425210750,2567250,0
"131",800,800,43,1,0.0952380952380952,1,1,1362042129,2577471,1
"132",5000,8385.04,54,1,0.0566037735849057,0,0,1390589351,3150649,1
"133",10000,10000,80,6,0.148648648648649,1,1,1276325093,2585707,0
"134",4000,4567.62,49,1,0.125,0,0,1439843823,2535777,0
"135",1400,1400,32,1,0.870967741935484,1,1,1340056701,2530899,1
"136",15000,15000,32,0,0.03125,1,1,1456906432,1543568,0
"137",25000,25000,57,1,0.0892857142857143,1,1,1380270734,2838466,0
"138",3000,3000,14,0,0.214285714285714,1,1,1330073561,3874039,0
"139",3000,3000,37,0,0.162162162162162,1,1,1499812989,3824211,1
"140",650,650,25,1,0.208333333333333,1,1,1442864686,2625314,1
"141",1000,1000,18,0,0.111111111111111,1,1,1448830590,2538210,0
"142",750,1113.98,18,1,0.411764705882353,0,0,1425676400,1151200,1
"143",1500,2307.48,14,1,0.230769230769231,0,0,1365401192,2588008,1
"144",500,803.32,29,1,0.107142857142857,0,0,1409359670,2520730,0
"145",2500,2500,28,1,0.185185185185185,1,1,1479811570,2574830,0
"146",6000,6000,18,0,0.166666666666667,1,1,1305814155,3423045,0
"147",1000,1000,18,0,0.166666666666667,1,1,1509734675,386125,0
"148",10000,14287.14,50,4,0.0869565217391304,0,0,1463465102,2588098,0
"149",600,917.77,47,1,0.130434782608696,0,0,1357705921,3806879,0
"150",18000,955.82,33,2,0.032258064516129,0,0,1488602064,3803136,0
"151",12000,12000,10,0,0.9,1,1,1336394567,2564233,0
"152",1925,3191.15,52,1,0.0784313725490196,0,0,1405878777,2545623,0
"153",8500,8500,19,0,0.105263157894737,1,1,1409791243,3817157,0
"154",7500,7500,35,1,0.117647058823529,1,1,1337023991,2971609,1
"155",250000,250000,55,3,0.192307692307692,1,1,1401303258,3492342,1
"156",500,829.12,53,4,0.0612244897959184,0,0,1406762046,2526354,0
"157",60000,96821.04,16,0,0.125,0,0,1353041178,3114822,0
"158",100,114.27,15,0,0.133333333333333,0,0,1456967345,5111455,0
"159",1000,1000,16,0,0.0625,1,1,1363659370,1651430,1
"160",70000,70000,39,1,0.868421052631579,1,1,1404248501,2534299,0
"161",1450,1450,46,1,0.155555555555556,1,1,1497488238,1224162,1
"162",7500,7500,28,2,0.115384615384615,1,1,1453448205,5174595,0
"163",36000,36000,57,4,0.207547169811321,1,1,1398983819,3133381,1
"164",50000,50000,59,3,0.142857142857143,1,1,1509842810,2783590,0
"165",129000,99078.34,39,1,0.210526315789474,0,0,1456899302,2587498,0
"166",5000,5000,18,0,0.0555555555555556,1,1,1465170378,2524422,0
"167",1e+05,1e+05,35,3,0.375,1,1,1349863031,5169769,0
"168",2500,3959.58,29,1,0.142857142857143,0,0,1432003956,2513244,0
"169",1200,1200,40,0,0.025,1,1,1457666741,3807259,0
"171",2000,1916.08,59,0,0.11864406779661,0,0,1379997409,2506991,0
"172",32000,32000,8,0,1,1,1,1415404935,2527065,0
"173",777,777,29,0,0.137931034482759,1,1,1319172702,1210098,1
"174",7500,7500,35,1,0.176470588235294,1,1,1467840124,3829076,1
"175",50000,50000,26,0,0.192307692307692,1,1,1358642311,5113289,0
"176",80000,80000,38,3,0.0857142857142857,1,1,1453400280,3411720,1
"177",2000,2000,53,3,0.14,1,1,1288073847,4750953,1
